,name,longitude,latitude
0,Chilco & Barclay,-123.140713,49.291909
1,St George & Broadway,-123.09306,49.262321
2,Britannia Parking Lot,-123.071865,49.275882
3,Morton & Denman,-123.142135,49.28803
4,Thornton & National,-123.092723,49.273777
5,Burrard & 14th,-123.145718,49.259469
6,Olympic Village Station,-123.116011,49.266314
7,8th & Macdonald,-123.168068,49.264928
8,30th & Ontario,-123.104978,49.243375
9,Lakewood & Triumph,-123.061615,49.283968
10,13th & Cambie,-123.114769,49.259579
11,Arbutus & Nanton,-123.153422,49.247854
12,14th & Fraser,-123.089531,49.257939
13,15th & Victoria (Trout Lake),-123.065646,49.256857
14,Robson & Hornby,-123.122092,49.282758
15,Cardero & Robson,-123.132677,49.289255
16,1st & Scotia,-123.0975014,49.2685027
17,10th & Fraser,-123.089413,49.26151
18,Ontario & 5th,-123.104824,49.266724
19,Heather & 16th,-123.120071,49.256845
20,Richards & Smithe,-123.119145,49.279259
21,Robson & Beatty,-123.114237,49.277773
22,Maple Tree Square,-123.103738,49.283482
23,22nd & Main,-123.101306,49.25094
24,Carrall & Seawall,-123.106534,49.276294
25,Charles & Woodland,-123.0732,49.2731
26,1st & Manitoba,-123.10651,49.27023
27,St Catherines & 7th,-123.085183,49.264466
28,Triumph & Victoria,-123.065264,49.283986
29,18th & Main,-123.101389,49.254667
30,St Catherines & 10th,-123.085333,49.261353
31,Nelson & Richards,-123.120942,49.277844
32,Arbutus & 10th,-123.152626,49.262835
33,Comox & Denman,-123.139203,49.288444
34,Prince Edward & 14th,-123.096337,49.258352
35,Alexander & Railway,-123.091206,49.283992
36,Chilco & Beach,-123.144028,49.28972
37,Richards & Cordova,-123.111031,49.284554
38,Orchard Commons,-123.250902,49.259999
39,Strangway Building,-123.24568,49.2661
40,Yew & Broadway,-123.155267,49.263523
41,Woodland & 10th,-123.073707,49.261263
42,Ontario & 16th,-123.105234,49.256825
43,14th & Alder,-123.131317,49.258819
44,Chestnut & McNicoll,-123.145939,49.275938
45,Dunbar & 6th,-123.183661,49.266636
46,Stanley Park - Vancouver Aquarium,-123.130281,49.299292
47,Yaletown-Roundhouse Station,-123.121817,49.274566
48,Smithe & Burrard,-123.124697,49.282503
49,Abbott & Cordova,-123.106955,49.282759
50,Sasamat & 10th,-123.209176,49.264019
51,Vine & 4th,-123.157443,49.268339
52,10th & Ontario,-123.104656,49.262062
53,Pine & 10th,-123.14338,49.262822
54,Wallace & 4th,-123.190701,49.268974
55,Pacific & Richards,-123.127075,49.273663
56,7th &  Alder,-123.131043,49.265198
57,Canada Place,-123.11287,49.287214
58,Jervis & Robson,-123.129232,49.286646
59,Heather & 18th,-123.120226,49.255034
60,14th & Oak,-123.127071,49.258761
61,Bute & Comox,-123.131099,49.283343
62,Comox & Broughton,-123.134356,49.285253
63,Station & Terminal,-123.097978,49.272172
64,Stanley Park - Third Beach Parking Lot,-123.155616,49.302577
65,Woodland & 4th,-123.073501,49.266751
66,8th & Ash,-123.117772,49.264215
67,Burrard & Drake,-123.130557,49.27808
68,10th & Kingsway,-123.09725,49.261973
69,10th & Oak,-123.126217,49.262255
70,Hawks & Union,-123.087359,49.277333
71,Marinaside & Cooperage,-123.114373,49.273833
72,Alberni & Jervis,-123.127245,49.28763
73,7th & Arbutus,-123.152566,49.265605
74,14th & Ontario,-123.104799,49.25849
75,King Edward & Cambie,-123.116141,49.249184
76,1st & Fir,-123.141564,49.270783
77,Arbutus & 16th,-123.153212,49.257654
78,War Memorial Gym,-123.2485487,49.2665793
79,28th & Willow,-123.124373,49.246243
80,Arbutus Greenway & Fir,-123.141135,49.266774
81,West Mall Swing Space Building,-123.254307,49.263073
82,McLean & Pender,-123.074082,49.280427
83,Bute & Barclay,-123.128685,49.284893
84,Balsam & Cornwall,-123.159663,49.273011
85,Hastings & Broughton,-123.127062,49.290112
86,Seymour & Cordova,-123.11242,49.28512
87,Alder & 11th,-123.13148,49.261742
88,10th & Columbia,-123.109091,49.262206
89,Heather & 14th,-123.120126,49.259183
90,Commercial & 20th,-123.067965,49.252656
91,Kitsilano Beach Park,-123.154493,49.273355
92,Rolston & Granville,-123.129998,49.274232
93,Cordova & Bute,-123.12196,49.289124
94,12th & Yukon (City Hall),-123.113504,49.260599
95,Blenheim & 4th,-123.177633,49.268837
96,Wylie & 2nd,-123.11311,49.267725
97,Thurlow & Pendrell,-123.130672,49.280881
98,14th & Cambie,-123.115392,49.258763
99,Granville & Georgia,-123.118541,49.282409
100,Grant & Commercial,-123.069416,49.271377
101,8th & Ontario,-123.105173,49.263837
102,Hornby & Nelson,-123.12482,49.28062
103,šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,-123.120523,49.283227
104,Dunsmuir & Beatty,-123.110154,49.279764
105,Robson & Granville,-123.120101,49.281506
106,4th & Commercial,-123.069936,49.266969
107,8th & Scotia,-123.099236,49.263635
108,Homer & Robson (Vancouver Public Library),-123.116251,49.279739
109,7th & Granville,-123.13811,49.2653
110,Harwood & Bute,-123.135244,49.28026
111,Creekside Park North,-123.102661,49.2756
112,Nicola & Robson,-123.1312375,49.2885056
113,10th & Commercial,-123.070102,49.261403
114,10th & Cambie,-123.114397,49.262487
115,Quebec & 1st,-123.10275,49.27033
116,Lakewood & Oxford,-123.061575,49.285575
117,Carolina & Great Northern Way,-123.090786,49.267266
118,Columbia & 5th,-123.109389,49.266476
119,East Blvd & 37th,-123.154966,49.238105
120,Trafalgar & Cornwall,-123.164325,49.272969
121,5th & Arbutus,-123.153157,49.267222
122,Stanley Park - Information Booth,-123.130758,49.297933
123,14th & Main,-123.100792,49.258425
124,Georgia & Main,-123.100017,49.278529
125,Agronomy & East Mall,-123.24648,49.261736
126,Alma & Point Grey,-123.185643,49.27247
127,20th & Main,-123.101289,49.252691
128,Nelson & Mainland,-123.11877,49.276436
129,Point Grey & Blenheim,-123.17731,49.271471
130,Yukon & 6th,-123.1129,49.265939
131,Burrard & 7th,-123.145823,49.265336
132,14th & Granville,-123.139272,49.25894
133,Wall & Eton,-123.060771,49.287464
134,Beach & Cardero,-123.142288,49.283298
135,Cypress & 4th,-123.147885,49.268269
136,Bute & Robson,-123.127265,49.285836
